location,total_sqft,bath,price,BHK,price_per_sqft
Kothanur,1828.0,3.0,110.0,3.0,6017.505470459519
Kengeri Satellite Town,890.0,2.0,35.0,2.0,3932.5842696629215
other,1612.0,3.0,46.74,3.0,2899.5037220843674
other,1034.0,5.0,185.0,6.0,17891.682785299807
Mysore Road,1710.0,4.0,91.31,3.0,5339.766081871345
Kannamangala,957.0,2.0,58.0,2.0,6060.606060606061
Devarachikkanahalli,1250.0,2.0,44.0,3.0,3520.0
other,2795.0,4.0,235.0,3.0,8407.871198568873
Hulimavu,1125.0,2.0,50.0,2.0,4444.444444444444
Electronic City Phase II,1020.0,2.0,30.6,2.0,3000.0
Kalena Agrahara,1200.0,2.0,50.0,2.0,4166.666666666667
Thanisandra,1735.0,3.0,135.0,3.0,7780.979827089337
Thanisandra,2050.0,3.0,145.0,3.0,7073.170731707317
Mahalakshmi Layout,3750.0,4.0,760.0,4.0,20266.666666666668
other,1350.0,2.0,48.0,3.0,3555.5555555555557
Hosa Road,1063.0,2.0,32.0,2.0,3010.348071495767
other,1904.0,3.0,150.0,3.0,7878.151260504202
Whitefield,4200.0,4.0,420.0,4.0,10000.0
other,2000.0,3.0,175.0,3.0,8750.0
,,,,,
other,1425.0,2.0,75.0,3.0,5263.1578947368425
Electronic City,1060.0,2.0,60.0,2.0,5660.377358490566
other,1470.0,2.0,70.0,3.0,4761.9047619047615
other,1300.0,6.0,99.0,6.0,7615.384615384615
,,,,,
Electronic City,1152.0,2.0,64.5,2.0,5598.958333333333
Electronic City,1350.0,2.0,56.0,3.0,4148.148148148148
CV Raman Nagar,1550.0,3.0,65.0,3.0,4193.548387096775
other,1500.0,3.0,100.0,3.0,6666.666666666667
Kumaraswami Layout,600.0,3.0,85.0,5.0,14166.666666666666
Nagavara,400.0,1.0,14.0,1.0,3500.0
Malleshwaram,705.0,1.0,67.0,1.0,9503.54609929078
Electronic City,770.0,1.0,36.0,2.0,4675.324675324675
Hulimavu,1242.0,2.0,51.0,2.0,4106.280193236715
Hebbal Kempapura,1700.0,3.0,155.0,3.0,9117.64705882353
Thanisandra,2144.0,3.0,145.0,3.0,6763.059701492537
Vijayanagar,1704.0,3.0,110.0,3.0,6455.399061032864
Electronic City,1070.0,2.0,52.0,2.0,4859.813084112149
other,1846.0,3.0,300.0,3.0,16251.354279523293
other,1340.0,2.0,55.7,2.0,4156.7164179104475
Electronic City,1025.0,2.0,46.0,2.0,4487.804878048781
,,,,,
Marathahalli,1200.0,2.0,52.0,2.0,4333.333333333333
Kanakpura Road,2250.0,4.0,110.0,4.0,4888.888888888889
Pattandur Agrahara,1550.0,2.0,80.0,3.0,5161.290322580645
Bellandur,1200.0,5.0,325.0,4.0,27083.333333333332
other,1800.0,7.0,250.0,7.0,13888.888888888889
Marathahalli,1200.0,2.0,60.0,2.0,5000.0
Yelahanka,1327.0,2.0,98.0,2.0,7385.079125847777
Kothanur,1186.0,2.0,58.0,2.0,4890.387858347386
other,1783.0,3.0,115.0,3.0,6449.8037016264725
HSR Layout,1400.0,3.0,56.0,3.0,4000.0
EPIP Zone,1285.0,2.0,82.0,2.0,6381.322957198444
other,912.0,2.0,70.0,3.0,7675.438596491228
Whitefield,1225.0,2.0,47.6,2.0,3885.714285714286
Whitefield,1075.0,2.0,53.0,2.0,4930.232558139535
Kadugodi,1260.0,2.0,54.0,3.0,4285.714285714285
Yelahanka,1282.0,2.0,48.7,3.0,3798.751950078003
Kogilu,1909.0,3.0,88.0,3.0,4609.743321110529
Panathur,1359.0,2.0,87.0,2.0,6401.766004415011
other,1207.0,2.0,43.5,2.0,3603.976801988401
Padmanabhanagar,1736.0,6.0,190.0,4.0,10944.700460829494
1st Block Jayanagar,2850.0,4.0,428.0,4.0,15017.543859649122
Kammasandra,1595.0,3.0,65.0,3.0,4075.2351097178685
other,1798.0,3.0,89.0,3.0,4949.944382647386
Electronics City Phase 1,1475.0,3.0,78.29,3.0,5307.796610169492
other,1580.0,3.0,100.0,3.0,6329.113924050633
Dasarahalli,1295.0,2.0,65.0,2.0,5019.305019305019
Magadi Road,3600.0,6.0,141.0,6.0,3916.6666666666665
Electronic City,589.0,1.0,27.0,1.0,4584.040747028863
other,1415.0,3.0,78.0,3.0,5512.367491166077
Sarjapur  Road,1787.0,3.0,98.29,3.0,5500.279798545048
Sarjapur  Road,1787.0,3.0,125.0,3.0,6994.963626189144
Koramangala,1475.0,2.0,90.0,3.0,6101.6949152542375
other,2000.0,4.0,75.5,4.0,3775.0
Sarjapur  Road,984.0,2.0,44.28,2.0,4500.0
,,,,,
other,2405.0,4.0,260.0,3.0,10810.81081081081
7th Phase JP Nagar,1080.0,2.0,72.0,2.0,6666.666666666667
other,1500.0,2.0,115.0,2.0,7666.666666666667
Hebbal,1900.0,3.0,119.0,3.0,6263.1578947368425
Dommasandra,805.0,2.0,22.14,2.0,2750.3105590062114
Budigere,1153.0,2.0,56.4,2.0,4891.587163920208
other,1148.0,2.0,60.0,2.0,5226.480836236934
other,1110.0,2.0,55.0,2.0,4954.954954954955
Electronic City,1100.0,2.0,42.0,2.0,3818.181818181818
Kalyan nagar,1290.0,2.0,110.0,2.0,8527.131782945737
other,1500.0,2.0,65.0,3.0,4333.333333333333
other,1080.0,2.0,39.0,2.0,3611.1111111111113
Vijayanagar,1933.0,3.0,129.0,3.0,6673.564407656492
Ramamurthy Nagar,3500.0,5.0,150.0,5.0,4285.714285714285
other,1060.0,2.0,60.0,2.0,5660.377358490566
Chandapura,645.0,1.0,16.45,1.0,2550.3875968992247
other,2600.0,8.0,180.0,8.0,6923.076923076923
Chandapura,645.0,1.0,16.45,1.0,2550.3875968992247
other,1644.0,3.0,84.0,3.0,5109.489051094891
Electronic City,1200.0,3.0,90.0,3.0,7500.0
Electronic City,910.0,2.0,40.0,2.0,4395.604395604396
Kothanur,1577.0,3.0,70.0,3.0,4438.807863031072
other,4050.0,3.0,280.0,3.0,6913.580246913581
OMBR Layout,2420.0,3.0,185.0,3.0,7644.628099173554
Chandapura,800.0,1.0,20.0,2.0,2500.0
other,1060.0,2.0,55.0,2.0,5188.679245283019
7th Phase JP Nagar,1270.0,2.0,93.0,2.0,7322.834645669292
other,900.0,2.0,22.5,2.0,2500.0
other,1280.0,2.0,69.0,2.0,5390.625
Horamavu Agara,1200.0,2.0,95.0,4.0,7916.666666666667
Sarjapur  Road,1025.0,2.0,36.0,2.0,3512.1951219512193
Electronic City,1108.0,2.0,63.0,2.0,5685.9205776173285
other,1200.0,5.0,170.0,5.0,14166.666666666666
other,3045.0,3.0,170.0,3.0,5582.922824302134
Ambedkar Nagar,2900.0,3.0,300.0,4.0,10344.827586206897
Vijayanagar,1500.0,3.0,75.5,3.0,5033.333333333333
Raja Rajeshwari Nagar,1295.0,2.0,43.9,2.0,3389.96138996139
Budigere,1162.0,2.0,59.9,2.0,5154.9053356282275
Sarjapur  Road,1035.0,2.0,49.2,2.0,4753.623188405797
Attibele,1600.0,4.0,52.8,4.0,3300.0
other,1464.0,3.0,46.0,3.0,3142.0765027322404
Hennur Road,1866.0,2.0,61.58,3.0,3300.10718113612
other,700.0,1.0,26.0,2.0,3714.285714285714
Kalena Agrahara,1804.0,3.0,120.0,3.0,6651.884700665189
Sarjapur,913.0,2.0,32.0,2.0,3504.9288061336256
Talaghattapura,1868.0,3.0,131.0,3.0,7012.847965738758
Kengeri Satellite Town,883.0,2.0,45.0,2.0,5096.262740656852
other,900.0,2.0,110.0,2.0,12222.222222222223
Kogilu,1664.0,2.0,73.95,3.0,4444.110576923077
Hegde Nagar,2026.0,3.0,132.0,3.0,6515.301085883514
Balagere,1210.0,2.0,80.9,2.0,6685.950413223141
other,4111.0,4.0,250.0,4.0,6081.24543906592
Kadugodi,1762.0,3.0,91.45,3.0,5190.124858115778
Jigani,1252.0,3.0,55.0,3.0,4392.97124600639
Gollarapalya Hosahalli,861.0,2.0,34.5,2.0,4006.968641114983
7th Phase JP Nagar,1420.0,2.0,100.0,3.0,7042.2535211267605
other,1450.0,6.0,250.0,6.0,17241.379310344826
Electronics City Phase 1,1490.0,3.0,78.8,3.0,5288.5906040268455
Bisuvanahalli,1075.0,2.0,46.0,3.0,4279.069767441861
Old Madras Road,1425.0,2.0,94.0,3.0,6596.491228070176
Kalena Agrahara,1200.0,2.0,40.0,2.0,3333.3333333333335
Kaggadasapura,1280.0,2.0,56.0,3.0,4375.0
other,1084.0,2.0,50.0,2.0,4612.546125461255
Chandapura,1015.0,2.0,25.88,2.0,2549.753694581281
Kanakpura Road,1017.0,2.0,51.25,2.0,5039.331366764995
Haralur Road,1027.0,2.0,44.0,2.0,4284.323271665044
Electronic City Phase II,1069.0,2.0,45.0,2.0,4209.541627689429
Hebbal,1349.0,2.0,98.2,2.0,7279.466271312083
9th Phase JP Nagar,1005.0,2.0,50.0,2.0,4975.124378109453
Jakkur,1417.0,2.0,75.0,2.0,5292.87226534933
TC Palaya,1475.0,3.0,98.0,3.0,6644.067796610169
other,950.0,2.0,47.0,2.0,4947.368421052632
other,2000.0,4.0,120.0,4.0,6000.0
Giri Nagar,880.0,3.0,140.0,3.0,15909.09090909091
Sarjapur  Road,1863.0,3.0,104.0,4.0,5582.393988191089
Singasandra,1010.0,2.0,29.5,2.0,2920.792079207921
Kalena Agrahara,1425.0,2.0,70.0,3.0,4912.2807017543855
Vijayanagar,1450.0,3.0,100.0,3.0,6896.551724137931
Kothanur,1847.0,3.0,105.0,3.0,5684.89442338928
AECS Layout,1100.0,2.0,45.0,2.0,4090.909090909091
Kanakpura Road,525.0,1.0,26.0,1.0,4952.380952380952
Mallasandra,1665.0,3.0,95.0,3.0,5705.705705705705
Begur,1664.0,4.0,65.0,4.0,3906.25
JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108
Panathur,1438.0,2.0,100.0,2.0,6954.102920723227
other,1560.0,3.0,115.0,3.0,7371.794871794872
Yelahanka,1350.0,2.0,55.55,2.0,4114.814814814815
Kanakpura Road,1550.0,3.0,67.0,3.0,4322.580645161291
Malleshpalya,1140.0,2.0,46.5,2.0,4078.9473684210525
other,1200.0,5.0,180.0,5.0,15000.0
other,850.0,2.0,27.0,2.0,3176.470588235294
Whitefield,1280.0,2.0,75.0,2.0,5859.375
Munnekollal,1170.0,2.0,52.0,2.0,4444.444444444444
other,1113.0,2.0,51.0,2.0,4582.210242587601
Hennur Road,1385.0,2.0,83.09,2.0,5999.27797833935
Electronic City,1128.0,2.0,65.0,2.0,5762.41134751773
Marathahalli,1200.0,2.0,128.0,2.0,10666.666666666666
other,1200.0,4.0,165.0,4.0,13750.0
Rajaji Nagar,2390.0,3.0,415.0,3.0,17364.016736401674
Giri Nagar,2400.0,4.0,400.0,4.0,16666.666666666668
other,1200.0,2.0,55.0,2.0,4583.333333333333
Kaval Byrasandra,1200.0,2.0,52.0,2.0,4333.333333333333
Kaggalipura,1150.0,2.0,55.0,3.0,4782.608695652174
other,1645.0,3.0,95.0,3.0,5775.075987841945
Sarjapur  Road,1000.0,2.0,67.0,2.0,6700.0
Haralur Road,2650.0,4.0,198.0,4.0,7471.698113207547
6th Phase JP Nagar,1192.0,2.0,74.0,2.0,6208.053691275168
Ulsoor,2135.0,3.0,215.0,3.0,10070.257611241217
Whitefield,1173.0,2.0,58.0,2.0,4944.58653026428
Uttarahalli,1020.0,2.0,45.0,2.0,4411.764705882353
Thigalarapalya,3122.0,6.0,230.0,4.0,7367.072389493914
Somasundara Palya,1600.0,3.0,64.0,3.0,4000.0
other,1200.0,2.0,79.0,2.0,6583.333333333333
other,1230.0,2.0,48.0,2.0,3902.439024390244
Devarachikkanahalli,1250.0,2.0,40.0,2.0,3200.0
Kalena Agrahara,1325.0,2.0,76.0,2.0,5735.8490566037735
7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108
,,,,,
Basaveshwara Nagar,1200.0,2.0,65.0,2.0,5416.666666666667
other,1350.0,2.0,140.0,3.0,10370.37037037037
Bommasandra,1260.0,3.0,49.36,3.0,3917.4603174603176
other,1800.0,3.0,150.0,3.0,8333.333333333334
,,,,,
Ardendale,1100.0,2.0,43.25,2.0,3931.818181818182
Harlur,1508.0,2.0,77.0,2.0,5106.100795755968
other,1592.0,3.0,75.0,3.0,4711.05527638191
Akshaya Nagar,1388.0,2.0,57.0,2.0,4106.628242074928
Electronic City Phase II,630.0,1.0,28.35,1.0,4500.0
other,2000.0,3.0,365.0,3.0,18250.0
other,1762.0,3.0,125.0,3.0,7094.211123723042
other,950.0,2.0,50.0,2.0,5263.1578947368425
Kodihalli,3252.0,5.0,335.0,4.0,10301.353013530135
Magadi Road,1116.0,2.0,50.0,2.0,4480.286738351255
Narayanapura,1308.0,2.0,89.04,2.0,6807.339449541284
other,1200.0,3.0,90.0,3.0,7500.0
other,1500.0,4.0,230.0,4.0,15333.333333333334
Bannerghatta Road,500.0,1.0,18.5,1.0,3700.0
Hennur,1075.0,2.0,52.0,2.0,4837.209302325581
,,,,,
Bellandur,1205.0,2.0,66.0,2.0,5477.178423236514
5th Phase JP Nagar,1075.0,2.0,60.0,2.0,5581.395348837209
KR Puram,930.0,2.0,39.0,2.0,4193.548387096775
Balagere,1380.0,2.0,60.0,2.0,4347.826086956522
Hebbal,2483.0,5.0,212.0,4.0,8538.058799838904
Kodigehaali,1166.0,2.0,55.0,2.0,4716.981132075472
Bannerghatta Road,1050.0,2.0,65.0,2.0,6190.476190476191
other,2023.71,3.0,275.0,3.0,13588.903548433324
Begur Road,1200.0,2.0,46.8,2.0,3900.0
Lakshminarayana Pura,1600.0,2.0,108.0,3.0,6750.0
Billekahalli,1935.0,3.0,110.0,3.0,5684.754521963824
8th Phase JP Nagar,451.0,1.0,29.9,1.0,6629.711751662971
Electronic City,1800.0,3.0,95.0,3.0,5277.777777777777
Jalahalli,1400.0,3.0,77.0,3.0,5500.0
Hegde Nagar,1801.0,3.0,115.0,3.0,6385.341476957246
Mahadevpura,1451.0,2.0,90.0,2.0,6202.618883528601
Anekal,1200.0,1.0,36.0,2.0,3000.0
Kengeri,1000.0,2.0,25.0,2.0,2500.0
Kanakpura Road,950.0,2.0,40.0,2.0,4210.526315789473
other,1629.0,3.0,79.0,3.0,4849.600982197668
Vijayanagar,1580.0,2.0,134.0,3.0,8481.012658227848
Vijayanagar,1826.0,3.0,121.0,3.0,6626.506024096386
7th Phase JP Nagar,1245.0,2.0,94.0,2.0,7550.2008032128515
Raja Rajeshwari Nagar,1145.0,2.0,45.79,2.0,3999.126637554585
Sompura,825.0,2.0,33.0,2.0,4000.0
Electronics City Phase 1,1113.27,2.0,53.0,2.0,4760.74986301616
other,1460.0,2.0,58.0,2.0,3972.6027397260273
Doddathoguru,1050.0,2.0,32.0,2.0,3047.6190476190477
Dodda Nekkundi,1260.0,2.0,55.0,2.0,4365.079365079365
other,700.0,3.0,120.0,6.0,17142.85714285714
Hosur Road,1656.0,2.0,120.0,2.0,7246.376811594203
Chandapura,1208.0,3.0,45.0,3.0,3725.1655629139073
Whitefield,1910.0,3.0,161.0,3.0,8429.319371727748
Whitefield,3252.0,4.0,230.0,4.0,7072.570725707257
Battarahalli,1200.0,2.0,65.0,2.0,5416.666666666667
other,1200.0,4.0,175.0,4.0,14583.333333333334
7th Phase JP Nagar,1175.0,2.0,82.0,2.0,6978.723404255319
other,1000.0,2.0,165.0,2.0,16500.0
Bannerghatta Road,1200.0,2.0,125.0,4.0,10416.666666666666
Rajaji Nagar,2390.0,3.0,410.0,3.0,17154.81171548117
Rajaji Nagar,12000.0,6.0,2200.0,7.0,18333.333333333332
Sultan Palaya,550.0,1.0,62.0,2.0,11272.727272727272
,,,,,
other,1185.0,2.0,38.0,2.0,3206.7510548523205
Kengeri,750.0,2.0,38.0,2.0,5066.666666666667
Mahalakshmi Layout,1200.0,7.0,250.0,6.0,20833.333333333332
Kanakpura Road,1550.0,3.0,64.5,3.0,4161.290322580645
other,1760.0,3.0,88.0,3.0,5000.0
Billekahalli,1125.0,2.0,62.0,2.0,5511.111111111111
Nagarbhavi,1350.0,3.0,150.0,3.0,11111.111111111111
Anandapura,1000.0,2.0,55.0,2.0,5500.0
Bommasandra Industrial Area,1090.0,2.0,31.48,2.0,2888.0733944954127
TC Palaya,1200.0,2.0,60.0,2.0,5000.0
Budigere,1991.0,4.0,103.0,3.0,5173.279758915118
Bommasandra,1060.0,2.0,26.5,2.0,2500.0
Ambalipura,1105.0,2.0,75.0,2.0,6787.330316742082
Hoodi,985.0,2.0,67.0,2.0,6802.030456852792
Chandapura,1533.0,5.0,85.0,6.0,5544.683626875408
Balagere,1590.0,3.0,79.0,3.0,4968.553459119496
CV Raman Nagar,1120.0,2.0,55.0,2.0,4910.714285714285
other,1069.0,2.0,55.0,2.0,5144.9953227315245
Marathahalli,1933.0,3.0,140.0,3.0,7242.628039317124
Hosur Road,1194.0,2.0,69.0,2.0,5778.894472361809
Brookefield,1150.0,2.0,69.0,2.0,6000.0
Yelenahalli,1240.0,2.0,47.12,2.0,3800.0
Raja Rajeshwari Nagar,1419.0,2.0,48.1,2.0,3389.7110641296686
7th Phase JP Nagar,1200.0,8.0,250.0,8.0,20833.333333333332
other,2150.0,4.0,240.0,3.0,11162.790697674418
other,1450.0,3.0,55.0,3.0,3793.103448275862
other,1630.0,3.0,68.29,3.0,4189.57055214724
Dasanapura,708.0,1.0,40.0,2.0,5649.717514124294
Kasavanhalli,1000.0,4.0,110.0,3.0,11000.0
Whitefield,11890.0,4.0,700.0,4.0,5887.300252312868
Bellandur,1250.0,2.0,76.0,2.0,6080.0
7th Phase JP Nagar,1400.0,2.0,95.0,3.0,6785.714285714285
Sarjapur  Road,1670.0,2.0,57.0,3.0,3413.1736526946106
Vittasandra,1404.0,2.0,71.0,2.0,5056.980056980057
Hoodi,1715.0,2.0,95.0,3.0,5539.35860058309
Electronic City,630.0,1.0,34.65,1.0,5500.0
Harlur,1752.12,3.0,135.0,3.0,7704.951715635916
Hulimavu,1650.0,3.0,78.0,3.0,4727.272727272727
Raja Rajeshwari Nagar,1295.0,2.0,55.47,2.0,4283.397683397683
Giri Nagar,1800.0,3.0,252.0,3.0,14000.0
Sarjapur  Road,1346.0,2.0,74.03,2.0,5500.0
other,1200.0,4.0,200.0,4.0,16666.666666666668
Hormavu,1150.0,2.0,55.0,2.0,4782.608695652174
other,3309.0,4.0,325.0,4.0,9821.698398307646
Chandapura,1190.0,2.0,30.35,3.0,2550.4201680672268
AECS Layout,1620.0,3.0,98.0,3.0,6049.382716049383
Marathahalli,950.0,2.0,46.96,2.0,4943.1578947368425
other,5000.0,9.0,360.0,11.0,7200.0
Harlur,2450.0,3.0,120.0,3.0,4897.959183673469
Electronic City Phase II,1220.0,2.0,35.23,3.0,2887.7049180327863
other,850.0,2.0,30.0,2.0,3529.4117647058824
Padmanabhanagar,1020.0,2.0,63.0,2.0,6176.470588235294
Chikkalasandra,1100.0,2.0,50.0,2.0,4545.454545454545
other,1150.0,2.0,126.0,2.0,10956.521739130434
Hebbal,1760.0,2.0,130.0,3.0,7386.363636363636
